亜|sub-,Asia|ア
徴|indications|チョウ
嘲 [7]|ridicule|チョウ,あざけ-る
澄|lucidity|チョウ,す-む,す-ます
聴|listen|チョウ,き-く
懲|penal|チョウ,こ-りる,こ-らす,こ-らしめる
勅|imperial order|チョク
捗 [7]|make progress|チョク
沈|sink|チン,しず-む,しず-める
珍|rare|チン,めずら-しい
朕|majestic plural|チン
陳|exhibit|チン
鎮|tranquilize|チン,しず-める,しず-まる
椎|oak|ツイ
墜|crash|ツイ
塚|hillock|つか
漬|pickling|つ-ける,つ-かる
坪|two-mat area|つぼ
爪|claw|つめ,（つま）
鶴|crane|つる
呈|display|テイ
廷|courts|テイ
抵|resist|テイ
邸|residence|テイ
亭|pavilion|テイ
貞|upright|テイ
帝|sovereign|テイ
訂|revise|テイ
逓|relay|テイ
偵|spy|テイ
堤|dike|テイ,つつみ
艇|rowboat|テイ
締|tighten|テイ,し-まる,し-める
諦|abandon|テイ,あきら-める
泥|mud|デイ,どろ
摘|pinch|テキ,つ-む
滴|drip|テキ,しずく,したた-る
溺 [7]|drown|デキ,おぼ-れる
迭|transfer|テツ
哲|philosophy|テツ
徹|penetrate|テツ
撤|remove|テツ
添|annexed|テン,そ-える,そ-う
塡 [7]|fill in|テン
殿|Mr.|デン,テン,との,どの
斗|Big Dipper|ト
吐|spit|ト,は-く
妬|jealousy|ト,ねた-む
途|route|ト
渡|transit|ト,わた-る,わた-す
塗|paint|ト,ぬ-る
賭 [7]|gamble|ト,か-ける
奴|guy|ド
怒|angry|ド,いか-る,おこ-る
到|arrival|トウ
逃|escape|トウ,に-げる,に-がす,のが-す,のが-れる
倒|overthrow|トウ,たお-れる,たお-す
凍|frozen|トウ,こお-る,こご-える
唐|"Tang "|トウ,から
桃|peach tree|トウ,もも
透|transparent|トウ,す-く,す-かす,す-ける
悼|lament|トウ,いた-む
盗|steal|トウ,ぬす-む
陶|pottery|トウ
塔|pagoda|トウ
搭|board|トウ
棟|ridgepole|トウ,むね,（むな）
痘|pox|トウ
筒|cylinder|トウ,つつ
稲|rice plant|トウ,いね,（いな）
踏|step|トウ,ふ-む,ふ-まえる
謄|mimeograph|トウ
藤|wisteria|トウ,ふじ
闘|fight|トウ,たたか-う
騰|inflation|トウ
洞|den|ドウ,ほら
胴|trunk|ドウ
瞳|pupil|ドウ,ひとみ
峠|mountain peak|とうげ
匿|hide|トク
督|coach|トク
篤|fervent|トク
凸|convex|トツ
突|stab|トツ,つ-く
屯|barracks|トン
豚|pork|トン,ぶた
頓|suddenly|トン
貪|covet|ドン,むさぼ-る
鈍|dull|ドン,にぶ-い,にぶ-る
曇|cloudy weather|ドン,くも-る
丼|bowl of food|どんぶり,（どん）
那|what|ナ
謎 [8]|riddle|なぞ
鍋|pot|なべ
軟|soft|ナン,やわ-らか,やわ-らかい
尼|nun|ニ,あま
弐|two (falsification prevention)|ニ
匂|scent|にお-う
